25
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,7,8,9,10,21,22,23,24,25,1,2,3,4,5,11,12,13,14,15,16,17,18,19,20
11,12,13,14,15,1,2,3,4,5,16,17,18,19,20,21,22,23,24,25,6,7,8,9,10
16,17,18,19,20,11,12,13,14,15,21,22,23,24,25,6,7,8,9,10,1,2,3,4,5
21,22,23,24,25,16,17,18,19,20,6,7,8,9,10,1,2,3,4,5,11,12,13,14,15
2,5,1,3,4,10,11,12,13,6,18,21,14,15,7,22,23,19,16,8,25,24,20,17,9
17,20,21,22,23,24,14,5,1,7,25,3,6,8,9,12,13,11,15,2,10,16,4,18,19
10,16,19,6,9,15,23,21,25,4,22,13,12,20,24,14,18,17,1,3,7,5,2,8,11
24,25,14,12,18,2,8,17,16,22,4,19,11,10,23,7,9,20,5,6,3,13,1,15,21
8,15,7,11,13,19,20,9,3,18,2,1,5,17,16,24,10,21,25,4,12,14,6,22,23
3,1,15,16,2,14,9,19,17,8,13,20,22,21,4,10,5,7,18,23,24,11,25,12,6
18,10,17,20,11,4,5,6,12,1,19,23,24,2,8,15,25,9,3,13,22,21,16,7,14
25,23,22,8,19,13,16,7,18,2,12,15,9,5,6,4,21,14,11,24,17,20,10,1,3
9,21,6,5,24,23,25,10,20,3,7,14,16,11,18,8,1,12,17,22,15,4,19,2,13
12,13,4,7,14,22,24,15,21,11,3,10,25,1,17,19,6,2,20,16,18,23,9,5,8
4,3,11,15,6,7,1,22,2,21,23,8,10,18,19,17,20,5,12,14,13,9,24,25,16
7,8,10,13,1,17,6,20,5,19,14,24,4,16,3,18,11,25,22,9,2,15,21,23,12
19,9,20,17,21,12,4,25,15,23,5,6,2,7,13,3,16,24,10,1,14,8,22,11,18
5,14,25,2,12,8,18,16,11,24,15,9,20,22,21,13,4,6,23,7,19,3,17,10,1
22,18,24,23,16,3,13,14,10,9,17,11,1,25,12,2,8,15,21,19,4,6,5,20,7
13,4,2,18,7,9,3,1,22,16,8,5,15,23,11,25,24,10,6,12,20,19,14,21,17
23,6,9,1,3,20,15,24,7,13,10,25,17,12,14,5,19,22,2,21,8,18,11,16,4
15,11,16,10,8,18,19,2,23,12,9,4,21,6,22,20,14,1,13,17,5,25,7,3,24
14,24,12,25,22,5,21,4,8,17,20,18,19,13,1,23,3,16,7,11,9,10,15,6,2
20,19,5,21,17,25,10,11,6,14,24,16,7,3,2,9,15,4,8,18,23,1,12,13,22
